experiment,variant,horizon,MSE,RMSE,MAE,MAPE,Dir_Acc,R2
model_type,LSTM,h1,0.004190942,0.064737484,0.057667036,1123.4706,59.887005649717516,-3.5904317
model_type,LSTM,h5,0.007207508,0.08489704,0.06938526,404.92188,43.50282485875706,-0.7238145
model_type,LSTM,h20,0.019612161,0.14004342,0.11030281,254.34785,63.84180790960452,-0.2765292
model_type,GRU,h1,0.004760753,0.06899821,0.062020987,1251.3558,39.548022598870055,-4.214558
model_type,GRU,h5,0.0048731803,0.06980817,0.053831305,147.91658,45.76271186440678,-0.16551495
model_type,GRU,h20,0.046456795,0.21553838,0.18421876,408.40796,33.33333333333333,-2.0238101
model_type,Transformer,h1,0.0011709334,0.034218904,0.02620815,334.94452,39.548022598870055,-0.28254926
model_type,Transformer,h5,0.004049649,0.063636854,0.048979,186.4234,61.5819209039548,0.031448424
model_type,Transformer,h20,0.028747957,0.16955222,0.1379675,242.18823,35.02824858757062,-0.8711659
dropout,0.0,h1,0.0033613255,0.05797694,0.04556149,784.36096,60.451977401129945,-2.681734
dropout,0.0,h5,0.009821314,0.09910254,0.07934304,470.9103,38.4180790960452,-1.3489563
dropout,0.0,h20,0.038145386,0.19530843,0.15986572,285.95935,42.3728813559322,-1.4828317
dropout,0.1,h1,0.004734747,0.0688095,0.060424168,1153.0996,38.983050847457626,-4.1860733
dropout,0.1,h5,0.008254698,0.09085537,0.069801085,313.03232,42.3728813559322,-0.97426987
dropout,0.1,h20,0.028961884,0.17018192,0.1355801,150.02104,29.37853107344633,-0.8850901
dropout,0.2,h1,0.004190942,0.064737484,0.057667036,1123.4706,59.887005649717516,-3.5904317
dropout,0.2,h5,0.007207508,0.08489704,0.06938526,404.92188,43.50282485875706,-0.7238145
dropout,0.2,h20,0.019612161,0.14004342,0.11030281,254.34785,63.84180790960452,-0.2765292
dropout,0.3,h1,0.0010304964,0.032101348,0.023417588,254.61511,48.58757062146893,-0.12872553
dropout,0.3,h5,0.009799245,0.09899113,0.08053871,422.63803,38.4180790960452,-1.3436782
dropout,0.3,h20,0.03221121,0.17947482,0.14522588,232.38217,41.24293785310734,-1.0965843
dropout,0.5,h1,0.003488411,0.05906277,0.047908805,795.6171,49.717514124293785,-2.8209338
dropout,0.5,h5,0.0075349035,0.08680382,0.068025365,308.84546,38.4180790960452,-0.80211735
dropout,0.5,h20,0.028361926,0.16840999,0.1309311,148.55049,43.50282485875706,-0.84603965
batch_norm,True,h1,0.004190942,0.064737484,0.057667036,1123.4706,59.887005649717516,-3.5904317
batch_norm,True,h5,0.007207508,0.08489704,0.06938526,404.92188,43.50282485875706,-0.7238145
batch_norm,True,h20,0.019612161,0.14004342,0.11030281,254.34785,63.84180790960452,-0.2765292
batch_norm,False,h1,0.0022550295,0.04748715,0.0396267,704.1956,39.548022598870055,-1.4699838
batch_norm,False,h5,0.0042791953,0.06541556,0.050640073,179.5515,61.5819209039548,-0.023452044
batch_norm,False,h20,0.03421536,0.18497394,0.15096702,272.29782,25.423728813559322,-1.2270317
attention_depth,layers=1,h1,0.00094993546,0.030821024,0.022239022,155.59285,44.06779661016949,-0.040485382
attention_depth,layers=1,h5,0.0043297596,0.06580091,0.050501723,130.62175,62.14689265536724,-0.03554547
attention_depth,layers=1,h20,0.023891462,0.15456863,0.12367739,162.3303,41.80790960451977,-0.5550631
attention_depth,layers=2,h1,0.0011709334,0.034218904,0.02620815,334.94452,39.548022598870055,-0.28254926
attention_depth,layers=2,h5,0.004049649,0.063636854,0.048979,186.4234,61.5819209039548,0.031448424
attention_depth,layers=2,h20,0.028747957,0.16955222,0.1379675,242.18823,35.02824858757062,-0.8711659
weight_decay,0,h1,0.0036980629,0.0608117,0.053694714,1028.7614,59.887005649717516,-3.05057
weight_decay,0,h5,0.0077523887,0.08804765,0.07165899,418.78983,38.983050847457626,-0.8541331
weight_decay,0,h20,0.01922772,0.13866405,0.11146405,294.2528,66.66666666666666,-0.25150645
weight_decay,1e-05,h1,0.0052589825,0.07251884,0.06619323,1341.8289,59.887005649717516,-4.7602797
weight_decay,1e-05,h5,0.007585761,0.087096274,0.07103882,418.12167,39.548022598870055,-0.814281
weight_decay,1e-05,h20,0.018778222,0.13703366,0.11081022,317.9874,68.36158192090396,-0.22224915
weight_decay,0.0001,h1,0.004190942,0.064737484,0.057667036,1123.4706,59.887005649717516,-3.5904317
weight_decay,0.0001,h5,0.007207508,0.08489704,0.06938526,404.92188,43.50282485875706,-0.7238145
weight_decay,0.0001,h20,0.019612161,0.14004342,0.11030281,254.34785,63.84180790960452,-0.2765292
weight_decay,0.001,h1,0.005495718,0.07413311,0.068088144,1400.1609,59.887005649717516,-5.019582
weight_decay,0.001,h5,0.008295583,0.09108009,0.07465251,432.6557,38.4180790960452,-0.98404837
weight_decay,0.001,h20,0.019956795,0.14126852,0.11188608,262.66147,61.5819209039548,-0.29896092
horizon_mode,multi,h1,0.004190942,0.064737484,0.057667036,1123.4706,59.887005649717516,-3.5904317
horizon_mode,multi,h5,0.007207508,0.08489704,0.06938526,404.92188,43.50282485875706,-0.7238145
horizon_mode,multi,h20,0.019612161,0.14004342,0.11030281,254.34785,63.84180790960452,-0.2765292
horizon_mode,single_h1,h1,0.000946216,0.030760624,0.021516394,218.85635,54.23728813559322,-0.036411285
